ID,Address,City,St,Price,TAREA,Style,RMA,TBD,FB,HB,E/S,Yr Built,DOM
C4235702,9159 EDGEBROOK DR NW,Calgary,S,"$686,000 ",214.606,2 Storey,9,5,3,1,Yes,1996,93
C4254124,114 ROCKYSPRING CI NW,Calgary,S,"$685,000 ",245.636,2 Storey,10,3,2,1,Yes,2007,27
C4253428,712 LAKE LUCERNE DR SE,Calgary,S,"$685,000 ",161.465,4 Lvl Split,9,4,2,1,Yes,1972,18
C4247595,103 DALCASTLE ME NW,Calgary,S,"$685,000 ",221.109,2 Storey,11,5,3,1,No,1980,43
C4244778,172 ARBOUR GLEN CL NW,Calgary,S,"$684,000 ",169.548,Bungalow,8,4,3,0,Yes,1994,50
C4219560,3224 BARR RD NW,Calgary,S,"$681,888 ",112.97,Bungalow,6,4,3,0,Yes,1962,200
C4253338,4436 BRENTWOOD GR NW,Calgary,S,"$680,000 ",103.308,Bungalow,6,5,3,0,Yes,1963,18
C4252694,14 SHERWOOD GD NW,Calgary,S,"$680,000 ",228.634,2 Storey,9,4,3,1,No,2004,15
C4241743,202 CRANLEIGH BA SE,Calgary,S,"$680,000 ",181.347,Bungalow,7,3,2,1,Yes,2005,50
C4238018,711 ROYAL CO NW,Calgary,S,"$680,000 ",227.055,2 Storey,8,5,3,1,Yes,2006,68
C4248475,2212 LAKE BONAVISTA DR SE,Calgary,S,"$675,000 ",135.174,Bungalow,7,4,3,0,Yes,1974,17
C4247541,32 EVERCREEK BLUFFS CR SW,Calgary,S,"$675,000 ",217.765,2 Storey,8,4,3,1,Yes,2004,21
C4244227,95 ARBOUR GLEN CL NW,Calgary,S,"$675,000 ",139.633,Bungalow,7,3,2,1,Yes,1992,27
C4235291,87 CRANWELL CL SE,Calgary,S,"$675,000 ",234.859,2 Storey,9,5,3,1,Yes,2002,83
C4228233,118 SUNSET WY SE,Calgary,S,"$675,000 ",213.956,2 Storey,10,4,3,1,Yes,1989,136
C4242865,430 MT DOUGLAS PL SE,Calgary,S,"$672,500 ",186.828,Bungalow,8,4,3,0,Yes,2001,49
C4247502,39 CRANBROOK LN SE,Calgary,S,"$672,000 ",235.23,2 Storey,8,4,3,1,Yes,2016,12
C4254584,1819 29 AV SW,Calgary,S,"$670,000 ",120.402,2 Storey,6,3,3,0,Yes,1982,14
C4248257,25 DEER RIVER GR SE,Calgary,S,"$670,000 ",194.911,2 Sty Split,10,5,4,0,Yes,1988,21
C4243578,33 LISSINGTON DR SW,Calgary,S,"$670,000 ",123.654,Bungalow,6,4,2,0,No,1959,51
C4247689,176 SCENIC RIDGE CR NW,Calgary,S,"$669,000 ",266.632,2 Storey,9,5,3,1,Yes,1991,37
C4245792,7836 CHARDIE RD SW,Calgary,S,"$669,000 ",145.486,4 Lvl Split,7,4,2,1,Yes,1960,15
C4248525,57 VALLEY WOODS LD NW,Calgary,S,"$667,500 ",183.019,2 Storey,9,4,3,1,Yes,2006,20
C4245181,1815 13 AV NW,Calgary,S,"$665,000 ",94.947,Bungalow,5,3,2,0,No,1952,47
C4241369,13 QUARRY CO SE,Calgary,S,"$665,000 ",208.196,2 Storey,9,4,3,1,Yes,2010,47
C4240937,25 STRATHLEA CO SW,Calgary,S,"$665,000 ",222.224,2 Storey,8,3,2,1,Yes,2000,54
C4232049,54 DISCOVERY RIDGE WY SW,Calgary,S,"$665,000 ",216.371,2 Storey,9,4,3,1,Yes,2003,106
C4238664,2635 26A ST SW,Calgary,S,"$663,975 ",163.416,2 Storey,8,4,3,1,Yes,2006,52
C4232892,51 HAWKSIDE CL NW,Calgary,S,"$662,500 ",298.126,2 Storey,10,5,2,1,Yes,1987,90
C4248348,11 SIMCOE TC SW,Calgary,S,"$661,000 ",196.211,2 Storey,9,4,3,1,Yes,2001,29
C4248432,226 11 ST NW,Calgary,S,"$660,000 ",92.903,Bungalow,5,1,1,0,No,1912,23
C4232639,152 CHAPARRAL RAVINE VW SE,Calgary,S,"$660,000 ",233.372,2 Storey,9,3,2,1,Yes,2006,109
C4236867,1106 17 AV NW,Calgary,S,"$657,500 ",147.158,2 Storey,6,4,3,1,Yes,2011,89
C4243216,703 WILLINGDON BV SE,Calgary,S,"$656,500 ",117.337,2 Sty Split,6,4,3,1,Yes,1968,38
C4248413,29 Glenside DR SW,Calgary,S,"$655,000 ",170.477,2 Storey,8,5,3,1,Yes,1959,33
C4242225,363 PARKWOOD CL SE,Calgary,S,"$655,000 ",116.129,Bungalow,5,3,3,0,Yes,1973,54
C4240976,12503 LAKE FRASER WY SE,Calgary,S,"$655,000 ",168.619,2 Storey,10,4,2,1,Yes,1975,70
C4225805,83 NOLANCLIFF CR NW,Calgary,S,"$655,000 ",235.602,2 Storey,6,4,3,1,No,2014,131
C4254319,3 SCANDIA RI NW,Calgary,S,"$653,500 ",152.825,Bungalow,7,3,2,1,Yes,1992,8
C4237053,52 MAHOGANY MR SE,Calgary,S,"$650,000 ",238.482,2 Storey,9,4,3,1,Yes,2011,74
C4233025,137 VALLEY RIDGE CO NW,Calgary,S,"$650,000 ",165.739,Bungalow,7,4,3,0,Yes,1993,99
C4255469,1407 1 ST NW,Calgary,S,"$649,800 ",201.785,2 & Half St,9,3,2,0,No,1915,10
C4248684,4216 26 ST NW,Calgary,S,"$647,400 ",133.966,Bungalow,7,4,3,0,Yes,1961,15
C4247660,530 11 AV NE,Calgary,S,"$647,000 ",131.086,2 Storey,7,2,1,1,No,1914,9
C4235932,603 WILLOW PARK DR SE,Calgary,S,"$646,500 ",167.411,2 Storey,7,4,3,1,Yes,1966,75
C4245903,77 MASTERS CM SE,Calgary,S,"$644,000 ",222.038,2 Storey,8,4,3,1,Yes,2014,34
C4232601,115 /117 30 AV NW,Calgary,S,"$643,000 ",84.449,Bi-Level,5,4,2,0,No,1971,92
C4254465,58 Cougarstone TC SW,Calgary,S,"$642,500 ",208.846,2 Storey,8,5,3,1,Yes,2006,17
C4246109,277 INVERNESS PA SE,Calgary,S,"$642,500 ",237.274,2 Storey,8,3,3,1,Yes,1998,34
C4244702,208 CANTER PL SW,Calgary,S,"$642,000 ",269.326,2 Storey,12,4,4,0,Yes,1980,59
C4242949,2888 Signal Hill DR SW,Calgary,S,"$642,000 ",170.198,2 Storey,9,3,3,1,Yes,1989,39
C4233972,311 OAKSIDE CI SW,Calgary,S,"$640,000 ",261.057,2 Sty Split,11,4,3,1,Yes,1978,85
C4213553,270 CRESTMONT DR SW,Calgary,S,"$639,500 ",200.299,2 Storey,12,5,3,1,Yes,2018,216
C4253400,7488 SPRINGBANK WY SW,Calgary,S,"$639,000 ",190.451,2 Storey,9,4,3,1,Yes,2002,9
C4249126,145 MT CASCADE CL SE,Calgary,S,"$639,000 ",246.379,2 Storey,10,5,4,0,Yes,1993,8
C4244235,113 TUSSLEWOOD TC NW,Calgary,S,"$639,000 ",177.352,2 Storey,8,4,3,1,Yes,2004,60
C4236827,36 VALLEY WOODS WY NW,Calgary,S,"$638,000 ",207.081,2 Storey,8,5,3,1,Yes,2005,94
C4245922,225 AUBURN GLEN MR SE,Calgary,S,"$637,500 ",225.754,2 Storey,9,4,3,1,Yes,2010,24
C4249170,123 ST MORITZ TC SW,Calgary,S,"$636,000 ",179.303,2 Storey,8,4,3,1,Yes,2005,24
C4253630,209 WENTWORTH PA SW,Calgary,S,"$635,000 ",186.549,2 Storey,9,4,3,1,Yes,2002,11
C4249488,5144 BARRON DR NW,Calgary,S,"$635,000 ",121.331,Bungalow,6,4,2,1,Yes,1965,30
C4235845,144 MAPLEBURN DR SE,Calgary,S,"$635,000 ",242.105,2 Storey,10,4,2,1,Yes,1968,90
C4256254,199 RIVERVIEW CI SE,Calgary,S,"$634,000 ",205.873,2 Storey,7,4,3,1,Yes,1994,8
C4244103,64 COUGARTOWN CL SW,Calgary,S,"$633,000 ",186.828,2 Storey,9,4,3,1,Yes,2006,37
C4229025,343 CANTER PL SW,Calgary,S,"$633,000 ",248.794,2 Storey,11,5,3,1,Yes,1980,105
C4245312,270 CRANLEIGH VW SE,Calgary,S,"$632,500 ",221.76,2 Storey,9,5,3,1,Yes,2006,27
C4235363,5027 BROCKINGTON RD NW,Calgary,S,"$632,500 ",121.703,4 Lvl Split,7,5,4,0,Yes,1963,89
C4246143,14 MARQUIS HT SE,Calgary,S,"$632,000 ",227.148,2 Storey,9,5,3,1,Yes,2013,26
C4254838,55 MIDLAND CR SE,Calgary,S,"$630,000 ",129.693,Bungalow,8,4,2,0,Yes,1980,21
C4253758,24 SIGNATURE PL SW,Calgary,S,"$630,000 ",156.635,Bungalow,6,4,3,0,Yes,1992,9
C4243889,2240 CAPITOL HILL CR NW,Calgary,S,"$630,000 ",108.789,Bungalow,6,4,2,0,No,1953,41
C4241552,1447 ACADIA DR SE,Calgary,S,"$630,000 ",168.526,2 Sty Split,10,5,3,1,Yes,1976,63
C4249026,2023 21 AV SW,Calgary,S,"$628,000 ",155.055,2 Storey,8,3,3,0,Yes,1912,20
C4253271,128 VALLEY STREAM CL NW,Calgary,S,"$627,500 ",217.486,2 Storey,9,4,3,1,Yes,2000,27
C4242838,160 Sherview GV NW,Calgary,S,"$627,500 ",208.567,2 Storey,9,5,3,1,Yes,2017,40
C4248863,2903 13 AV NW,Calgary,S,"$625,000 ",113.342,Bungalow,6,3,2,0,No,1954,17
C4248016,245 AUBURN GLEN MR SE,Calgary,S,"$625,000 ",210.518,2 Storey,9,3,3,1,Yes,2010,43
C4244441,88 EVERGREEN LN SW,Calgary,S,"$625,000 ",247.958,2 Storey,9,5,3,1,Yes,2004,59
