MLS®#,Community,Address,St,List Price,Sold Price,Tot Flr Area AG Metres,Style,Rooms Above Grade,Beds Total,Baths Full,Baths Half,Ensuite YN,Yr Built,Front Exposure,Frontage Metres,Num Finished FP,Basement Development,Enclosed Parking,Parking,Occupancy,Possession Notes,DOM,Condo Name,Construction Type,Flooring,Tot Flr Area A.G. (SF),Listing REALTOR® 1 Name
C4223669,Dover, 3050  30a ST SE,A,"$349,875 ",,84.728,Bungalow,4,4,3,0,No,1970,Southeast,12.5,,"Fully Finished, Suite",2,Double Garage Detached,Seller,negotiable,184,,Wood Frame,"Carpet, Ceramic Tile, Hardwood",912,Joe Howlett
C4221376,Dover, 259  Dovercliffe WY SE,S,"$349,900 ","$342,500 ",98.291,Bungalow,7,5,2,0,No,1971,South,13.7,,Fully Finished,2,"Double Garage Detached, Insulated, Over Sized",Vacant,Negotiable,34,,Wood Frame,"Carpet, Hardwood, Non-Ceramic Tile","1,058",Lorraine Beale
C4246050,Dover, 296  DOVERCLIFFE WY SE,A,"$342,000 ",,93.368,Bungalow,6,3,1,0,No,1971,North,17.66,1,Unfinished,2,Double Garage Detached,Seller,Neg,64,,Wood Frame,"Carpet, Ceramic Tile, Laminate Flooring","1,005",Laura Kitchen
C4254932,Dover, 4103  DOVERBROOK RD SE,A,"$335,000 ",,99.128,Bi-Level,7,4,2,0,No,1972,West,12.19,,Fully Finished,2,"Double Garage Detached, Parking Pad Cement or Paved, RV Parking",Seller,Negotiable,32,,Wood Frame,"Carpet, Laminate Flooring, Linoleum","1,067",Denise (Dee) A McLellan
C4238541,Dover, 227  DOVER RIDGE CL SE,S,"$345,500 ","$335,000 ",58.064,Bi-Level,3,3,1,0,No,1972,South,12.79,1,Fully Finished,2,"Double Garage Detached, 220 Volt Wiring, Over Sized, Parking Pad Cement or Paved, RV Parking",Seller,Neg,60,,Wood Frame,"Carpet, Ceramic Tile, Hardwood",625,Shawn Kennedy
C4248185,Dover, 4227  Dovercrest DR SE,A,"$334,900 ",,83.241,Bungalow,6,4,2,0,No,1972,East,12,,Fully Finished,2,"Double Garage Detached, 220 Volt Wiring, Insulated, Heated, Over Sized, RV Parking",Owner,Negotiable,56,,Wood Frame,"Ceramic Tile, Hardwood, Laminate Flooring",896,Roger Arsenault
C4205009,Dover, 3027  28A ST SE,S,"$338,800 ","$330,000 ",88.258,Bungalow,5,5,2,0,No,1970,South,11.6,,Fully Finished,2,Double Garage Detached,Vacant,NA,33,,Wood Frame,"Carpet, Ceramic Tile, Laminate Flooring",950,Gurmit Dhah
C4222858,Dover, 52  DOVERTHORN PL SE,S,"$344,900 ","$327,000 ",89.187,Bungalow,6,4,2,0,No,1972,North,13.09,,Suite,1,"Single Garage Detached, Front and Rear Drive Access, Parking Pad Cement or Paved, Rear Drive Access, RV Parking",Vacant,Negotiable,64,,Wood Frame,"Hardwood, Linoleum",960,Mehboob Damji
C4215688,Dover, 3403  DOVER RIDGE DR SE,S,"$335,900 ","$325,000 ",85.006,Bungalow,6,4,2,0,No,1972,North,12.19,1,Fully Finished,2,Double Garage Detached,Seller,Negotiable,31,,Wood Frame,Laminate Flooring,915,Mark Stanley A Jamias
C4194006,Dover, 3304  41 ST SE,S,"$335,000 ","$325,000 ",106.838,Bungalow,6,5,2,0,No,1970,North,15,,Suite,2,Double Garage Detached,Vacant,,68,,Concrete,"Laminate Flooring, Linoleum","1,150",Cheryl D Smith
C4221377,Dover, 72  Doverview PL SE,S,"$324,900 ","$324,900 ",86.771,4 Lvl Split,5,3,2,1,No,1972,South,12.2,,Fully Finished,,"Parking Pad Gravel, Rear Drive Access",,Negotiable,21,,Wood Frame,"Carpet, Ceramic Tile, Hardwood, Linoleum",934,Wendy Siddall
C4246182,Dover, 4220  DOVERVIEW DR SE,S,"$324,423 ","$323,000 ",84.913,4 Lvl Split,5,3,1,1,No,1972,Northwest,12.94,1,Fully Finished,2,"Double Garage Detached, Heated, Over Sized",Vacant,Negotiable,12,,Wood Frame,"Carpet, Ceramic Tile, Laminate Flooring",914,Jared Chamberlain
C4213840,Dover, 3808  DOVER RIDGE DR SE,S,"$339,000 ","$322,500 ",91.045,Bungalow,6,5,2,0,No,1971,West,12.49,,"Fully Finished, Suite",,"Parking Pad Gravel, Rear Drive Access",Vacant,IMMEDIATE,33,,Wood Frame,"Carpet, Ceramic Tile, Laminate Flooring",980,Darshan Sidhu
C4195630,Dover, 260  Doverthorn CL SE,S,"$339,900 ","$320,000 ",114.642,Bungalow,6,5,2,1,Yes,1973,West,16.19,1,Fully Finished,2,"Double Garage Detached, Over Sized",Vacant,Negotiable,92,,Wood Frame,"Laminate Flooring, Linoleum","1,234",Michelle L Eldjarnson
C4256039,Dover, 230  DOVERCLIFFE WY SE,A,"$319,900 ",,101.264,Bungalow,6,3,2,0,No,1971,West,30.4,,"Fully Finished, Suite",2,Double Garage Detached,Tenant Rights,Immediate,23,,Wood Frame,"Carpet, Ceramic Tile, Hardwood","1,090",Chris Cameron
C4202689,Dover, 3303  DOVERTHORN WY SE,S,"$319,900 ","$317,500 ",91.881,Bungalow,5,5,3,0,Yes,1974,North,15.1,0,Fully Finished,2,Double Garage Detached,Vacant,Negotiable,50,,Wood Frame,"Ceramic Tile, Laminate Flooring",989,David P Brown
C4223698,Dover, 3043  DOVER RIDGE DR SE,S,"$345,000 ","$317,000 ",95.411,Bungalow,5,5,2,0,No,1974,North,15.23,,Partly Finished,,"Parking Pad Gravel, Rear Drive Access",Vacant,negotiable,48,,Wood Frame,"Ceramic Tile, Laminate Flooring","1,027",Rakesh Sharma
C4197405,Dover, 4252  DOVERCREST DR SE,S,"$329,900 ","$317,000 ",94.111,Bungalow,6,3,1,0,No,1973,Northeast,11,2,Fully Finished,2,Double Garage Attached,Seller,Negotiable,28,,Wood Frame,"Carpet, Laminate Flooring, Linoleum","1,013",Michelle L Eldjarnson
C4229691,Dover, 3245  DOVERTHORN RD SE,S,"$325,000 ","$316,500 ",110.462,Bungalow,6,4,2,1,Yes,1974,North,12,,Fully Finished,2,Double Garage Detached,Vacant,Immediate,30,,Wood Frame,"Carpet, Laminate Flooring, Linoleum","1,189",Kari J Howell
C4229463,Dover, 151  DOVERCLIFFE WY SE,S,"$309,900 ","$312,000 ",88.537,Bungalow,5,3,1,0,No,1971,South,12.1,,Unfinished,2,Double Garage Detached,,Negotiable,14,,Wood Frame,"Carpet, Ceramic Tile",953,Adnan Assaf
C4233302,Dover, 3308  41 ST SE,S,"$324,900 ","$310,000 ",101.45,Bungalow,6,4,2,0,No,1970,West,16.8,1,Fully Finished,2,"Double Garage Detached, Insulated, Heated, RV Parking",Owner,Negotiable,63,,Wood Frame,Laminate Flooring,"1,092",Wally Lavoie
C4221282,Dover, 3307  DOVER RIDGE DR SE,S,"$325,000 ","$308,800 ",104.423,Bungalow,6,3,1,0,No,1972,Southeast,15.2,,Unfinished,2,Double Garage Detached,Vacant,NEG,76,,Wood Frame,"Ceramic Tile, Laminate Flooring","1,124",Justin Havre
